iter	Logloss
0	0.6356620111
1	0.5831083805
2	0.5370543272
3	0.5067609865
4	0.4750657815
5	0.4429771924
6	0.4125837576
7	0.3966263104
8	0.3750682488
9	0.3557767867
10	0.3446100715
11	0.3296680759
12	0.3206904961
13	0.305770584
14	0.2962442933
15	0.2863775582
16	0.2767194451
17	0.2689197809
18	0.2628730088
19	0.2559834595
20	0.2501408041
21	0.2452633609
22	0.239597862
23	0.2366119098
24	0.2324750245
25	0.2290861537
26	0.2257455719
27	0.2230418748
28	0.220463204
29	0.2174467046
30	0.2149190079
31	0.2114569716
32	0.2090981348
33	0.2072916437
34	0.2049143228
35	0.2035973409
36	0.2023172673
37	0.2006466088
38	0.1996604816
39	0.1984793341
40	0.1970999162
41	0.1960320481
42	0.1952901197
43	0.1936979108
44	0.1926124357
45	0.1917073657
46	0.1909671069
47	0.1896971746
48	0.1889660064
49	0.1879654345
50	0.1870035823
51	0.186122292
52	0.1851163671
53	0.1844170548
54	0.183920373
55	0.1835193287
56	0.1830601347
57	0.1824810913
58	0.1818654685
59	0.1811791864
60	0.1807578543
61	0.1801323023
62	0.1793940012
63	0.1790813673
64	0.17844364
65	0.1779955497
66	0.1775893722
67	0.1770140496
68	0.1767773938
69	0.1764908844
70	0.1758001123
71	0.1753624825
72	0.1749553955
73	0.1746975808
74	0.1743636574
75	0.173995675
76	0.1734683719
77	0.1730316325
78	0.1727187136
79	0.1724611089
80	0.1722396875
81	0.1719352587
82	0.1716696898
83	0.1713504148
84	0.171009627
85	0.1707749678
86	0.1705071052
87	0.1699681079
88	0.1697804855
89	0.1695194939
90	0.1693493502
91	0.1691072367
92	0.1685518313
93	0.1683169576
94	0.1680279751
95	0.1678998104
96	0.1677725863
97	0.1676017016
98	0.1674239134
99	0.167129703
100	0.1668281216
101	0.1666304269
102	0.1664992167
103	0.1662819753
104	0.1661324349
105	0.1657817508
106	0.1656032805
107	0.1653897336
108	0.1652895398
109	0.1651097326
110	0.1648900129
111	0.1647033026
112	0.1645558308
113	0.1643843628
114	0.1642019358
115	0.1640296518
116	0.1638694977
117	0.1637934027
118	0.1636350435
119	0.1635327529
120	0.1634255782
121	0.1633029899
122	0.1631878882
123	0.1631033779
124	0.1629425683
125	0.1628449617
126	0.1627231604
127	0.1625577658
128	0.1624349779
129	0.1622594473
130	0.1621504339
131	0.1619821284
132	0.1618121352
133	0.1616829376
134	0.161516229
135	0.1614363893
136	0.1613853985
137	0.1612639868
138	0.1611078446
139	0.161011605
140	0.1609200033
141	0.1608262079
142	0.1606631082
143	0.1605604349
144	0.1604237907
145	0.1602498262
146	0.1600626243
147	0.159942963
148	0.1598210427
149	0.1597352846
150	0.1595496521
151	0.1593874005
152	0.1592750289
153	0.1591442849
154	0.1590863422
155	0.1589025432
156	0.1587722058
157	0.1586865399
158	0.1585715815
159	0.1584842433
160	0.1583458096
161	0.1581842676
162	0.1580899859
163	0.1580105768
164	0.1579289873
165	0.1578397445
166	0.1577691453
167	0.1577082871
168	0.157588388
169	0.1574626514
170	0.1573974111
171	0.1573452894
172	0.1572553618
173	0.1571404807
174	0.1570307679
175	0.1569712251
176	0.1569219688
177	0.1568451858
178	0.1567590653
179	0.1566318505
180	0.1564711481
181	0.1563934466
182	0.1563285832
183	0.1562365378
184	0.1561164586
185	0.1560021735
186	0.1559312624
187	0.1558587566
188	0.1558092787
189	0.1557393944
190	0.1556342729
191	0.1555417435
192	0.1554576499
193	0.1553499593
194	0.1552592657
195	0.1551490468
196	0.1550000564
197	0.1549426087
198	0.1549068191
199	0.1548306835
200	0.1547137395
201	0.1546270278
202	0.154527471
203	0.1544416635
204	0.1543401771
205	0.1542669707
206	0.1541660988
207	0.1540785982
208	0.1540383911
209	0.1539633048
210	0.1538737649
211	0.1538095813
212	0.1537616157
213	0.1537134778
214	0.1536065007
215	0.1535294141
216	0.153465378
217	0.1533765274
218	0.1533209958
219	0.1532523016
220	0.1531300043
221	0.1530692897
222	0.1530395352
223	0.1530233541
224	0.1529304745
225	0.1528495829
226	0.1527261403
227	0.1526714682
228	0.152642261
229	0.1525442984
230	0.1525072742
231	0.1524138076
232	0.1523265831
233	0.1522689442
234	0.1521738055
235	0.1520921132
236	0.1519646006
