iter	Passed	Remaining
0	50	22831
1	85	19246
2	125	18878
3	164	18510
4	205	18447
5	246	18401
6	286	18272
7	332	18477
8	375	18529
9	410	18186
10	445	17916
11	484	17805
12	530	17954
13	570	17895
14	610	17834
15	659	18019
16	698	17904
17	731	17668
18	767	17533
19	805	17448
20	839	17259
21	878	17204
22	918	17166
23	950	16995
24	982	16813
25	1026	16850
26	1060	16725
27	1093	16598
28	1133	16572
29	1166	16450
30	1193	16249
31	1220	16060
32	1259	16028
33	1288	15880
34	1315	15710
35	1346	15594
36	1374	15454
37	1402	15321
38	1430	15185
39	1461	15091
40	1493	15004
41	1531	14983
42	1560	14875
43	1598	14862
44	1630	14785
45	1662	14711
46	1700	14685
47	1736	14651
48	1769	14588
49	1798	14495
50	1827	14401
51	1852	14284
52	1881	14201
53	1912	14130
54	1941	14048
55	1979	14030
56	2007	13948
57	2038	13882
58	2066	13802
59	2099	13752
60	2134	13717
61	2164	13648
62	2198	13608
63	2223	13517
64	2259	13488
65	2287	13410
66	2315	13338
67	2344	13273
68	2375	13218
69	2404	13155
70	2438	13118
71	2470	13070
72	2498	13004
73	2532	12972
74	2569	12950
75	2610	12951
76	2654	12962
77	2693	12947
78	2731	12931
79	2768	12907
80	2798	12850
81	2839	12844
82	2875	12819
83	2910	12783
84	2951	12777
85	2987	12750
86	3031	12752
87	3074	12753
88	3111	12725
89	3162	12755
90	3208	12762
91	3241	12717
92	3271	12662
93	3299	12602
94	3325	12533
95	3357	12485
96	3383	12418
97	3409	12349
98	3434	12279
99	3462	12220
100	3490	12164
101	3520	12115
102	3551	12068
103	3587	12037
104	3618	11994
105	3646	11938
106	3680	11900
107	3707	11844
108	3736	11792
109	3777	11777
110	3826	11789
111	3863	11761
112	3899	11733
113	3932	11692
114	3972	11676
115	4008	11645
116	4045	11618
117	4089	11610
118	4130	11592
119	4171	11577
120	4209	11550
121	4246	11521
122	4287	11502
123	4324	11473
124	4366	11458
125	4411	11447
126	4450	11425
127	4486	11392
128	4524	11362
129	4561	11334
130	4602	11312
131	4641	11286
132	4676	11250
133	4708	11209
134	4738	11160
135	4764	11106
136	4789	11048
137	4815	10991
138	4846	10947
139	4870	10889
140	4899	10840
141	4924	10785
142	4952	10735
143	4985	10697
144	5017	10657
145	5045	10608
146	5079	10574
147	5104	10520
148	5130	10467
149	5157	10418
150	5183	10367
151	5210	10318
152	5238	10271
153	5263	10218
154	5289	10169
155	5320	10129
156	5350	10087
157	5378	10042
158	5411	10005
159	5443	9968
160	5471	9924
161	5502	9884
162	5529	9837
163	5564	9805
164	5596	9768
165	5634	9741
166	5665	9701
167	5692	9656
168	5727	9625
169	5753	9578
170	5793	9553
171	5824	9515
172	5854	9475
173	5886	9438
174	5916	9398
175	5943	9354
176	5968	9306
177	6005	9278
178	6036	9240
179	6069	9205
180	6100	9167
181	6131	9129
182	6160	9088
183	6201	9066
184	6244	9046
185	6291	9030
186	6326	8998
187	6354	8957
188	6380	8912
189	6411	8874
190	6442	8837
191	6474	8801
192	6510	8770
193	6544	8737
194	6574	8698
195	6606	8662
196	6636	8623
197	6665	8583
198	6691	8540
199	6717	8497
200	6749	8461
201	6776	8420
202	6811	8388
203	6840	8348
204	6870	8311
205	6897	8269
206	6927	8232
207	6954	8191
208	6978	8147
209	7004	8105
210	7033	8067
211	7067	8034
212	7096	7996
213	7123	7955
214	7151	7916
215	7179	7877
216	7207	7838
217	7238	7803
218	7274	7773
219	7303	7735
220	7334	7699
221	7365	7663
222	7391	7623
223	7413	7578
224	7448	7547
225	7488	7521
226	7531	7498
227	7578	7478
228	7639	7472
229	7667	7434
230	7695	7395
231	7727	7360
232	7753	7320
233	7791	7292
234	7820	7254
235	7853	7221
236	7882	7184
237	7910	7145
238	7939	7108
239	7968	7071
240	8001	7038
241	8032	7003
242	8060	6966
243	8093	6932
244	8126	6898
245	8165	6870
246	8197	6836
247	8239	6810
248	8272	6777
249	8307	6746
250	8339	6711
251	8374	6679
252	8424	6659
253	8467	6634
254	8518	6613
255	8566	6591
256	8618	6572
257	8665	6549
258	8711	6524
259	8755	6499
260	8795	6470
261	8829	6437
262	8863	6403
263	8902	6373
264	8940	6342
265	8969	6305
266	9000	6270
267	9033	6235
268	9063	6199
269	9098	6166
270	9128	6130
271	9163	6097
272	9195	6062
273	9223	6025
274	9251	5988
275	9279	5951
276	9309	5914
277	9334	5876
278	9361	5838
279	9389	5801
280	9428	5771
281	9465	5739
282	9494	5703
283	9526	5668
284	9556	5633
285	9586	5597
286	9622	5565
287	9656	5532
288	9694	5501
289	9735	5472
290	9770	5439
291	9810	5409
292	9843	5375
293	9895	5351
294	9937	5322
295	9975	5291
296	10014	5259
297	10052	5228
298	10091	5197
299	10124	5163
300	10154	5127
301	10187	5093
302	10213	5056
303	10257	5027
304	10295	4995
305	10338	4966
306	10383	4938
307	10430	4910
308	10466	4877
309	10498	4842
310	10540	4812
311	10580	4781
312	10621	4750
313	10660	4718
314	10693	4684
315	10731	4652
316	10770	4620
317	10807	4587
318	10842	4554
319	10882	4522
320	10931	4495
321	10956	4457
322	10983	4420
323	11010	4383
324	11037	4347
325	11059	4308
326	11084	4271
327	11109	4233
328	11135	4196
329	11160	4159
330	11186	4123
331	11213	4086
332	11241	4051
333	11269	4015
334	11297	3979
335	11318	3941
336	11342	3904
337	11364	3866
338	11388	3829
339	11411	3792
340	11432	3754
341	11458	3718
342	11479	3681
343	11501	3644
344	11530	3609
345	11550	3572
346	11572	3535
347	11599	3499
348	11623	3463
349	11645	3427
350	11670	3391
351	11698	3356
352	11729	3322
353	11757	3288
354	11788	3254
355	11810	3218
356	11838	3183
357	11866	3149
358	11901	3116
359	11925	3080
360	11958	3047
361	11983	3012
362	12007	2977
363	12039	2943
364	12060	2907
365	12086	2873
366	12110	2837
367	12130	2801
368	12155	2767
369	12177	2731
370	12198	2696
371	12219	2660
372	12239	2625
373	12262	2590
374	12283	2555
375	12313	2521
376	12339	2487
377	12367	2453
378	12395	2420
379	12430	2388
380	12459	2354
381	12494	2322
382	12518	2287
383	12540	2253
384	12579	2221
385	12606	2188
386	12636	2155
387	12657	2120
388	12683	2086
389	12738	2057
390	12763	2023
391	12790	1990
392	12815	1956
393	12841	1922
394	12865	1889
395	12893	1855
396	12929	1823
397	12953	1789
398	12980	1756
399	13005	1723
